"AÑO","NAME","CANTIDAD"
1985,Oenanthe oenanthe                            ,55
1986,Luscinia svecica cyanecula                   ,6
2000,Serinus serinus                              ,343
1993,Delichon urbica                              ,4
1994,Acrocephalus melanopogon                     ,17
1993,Alcedo atthis                                ,7
1997,Fringilla coelebs                            ,29
2002,Sylvia atricapilla                           ,239
2003,Turdus philomelos                            ,23
1993,Lanius excubitor                             ,1
1995,Ardea cinerea                                ,2
2009,Sylvia atricapilla                           ,429
2009,Glareola pratincola                          ,65
2003,Hieraaetus pennatus                          ,1
1985,Emberiza cia                                 ,4
2008,Luscinia svecica                             ,94
2007,Calidris alpina                              ,33
2001,Caprimulgus ruficollis                       ,2
2013,Parus major                                  ,22
2018,Parus cristatus                              ,3
2012,Carduelis spinus                             ,5
1989,Sylvia cantillans                            ,26
1990,Muscicapa striata                            ,66
1996,Ficedula hypoleuca                           ,3
1999,Carduelis chloris                            ,46
1994,Motacilla flava                              ,38
1997,Coccothraustes coccothraustes                ,4
1989,Loxia curvirostra                            ,1
2001,Scolopax rusticola                           ,1
2000,Bubulcus ibis                                ,39
2009,Aix galericulata                             ,1
1989,Pernis apivorus                              ,1
2004,Acrocephalus schoenobaenus                   ,10
2008,Saxicola torquata                            ,12
2008,Phoenicurus phoenicurus                      ,18
2009,Carduelis spinus                             ,220
2015,Motacilla alba                               ,26
2015,Locustella luscinioides                      ,19
1995,Carduelis carduelis                          ,182
1990,Motacilla cinerea                            ,3
1991,Turdus philomelos                            ,207
2002,Alauda arvensis                              ,1
2001,Muscicapa striata                            ,26
2001,Tyto alba                                    ,1
2007,Motacilla cinerea                            ,14
2015,Tringa ochropus                              ,1
1993,Phylloscopus collybita                       ,160
1991,Phylloscopus collybita abietinus             ,3
2002,Sylvia melanocephala                         ,68
2002,Phylloscopus bonelli bonelli                 ,2
1990,Alcedo atthis                                ,11
2001,Passer montanus                              ,11
1992,Athene noctua                                ,13
2001,Gallinula chloropus                          ,2
2005,Ardeola ralloides                            ,2
2009,Tringa totanus                               ,9
1997,Luscinia svecica svecica                     ,1
2002,Motacilla flava flava                        ,5
2009,Apus apus                                    ,44
2011,Apus apus                                    ,10
2017,Locustella luscinioides                      ,21
1988,Locustella luscinioides                      ,38
1989,Phylloscopus sibilatrix                      ,6
1993,Acrocephalus schoenobaenus                   ,2
2000,Miliaria calandra                            ,1
2000,Emberiza hortulana                           ,1
2000,Lanius (excubitor) meridionalis              ,8
2003,Alcedo atthis                                ,31
2007,Streptopelia turtur                          ,21
1991,Egretta garzetta                             ,9
2005,Egretta garzetta                             ,6
2007,Phoenicurus phoenicurus                      ,15
2019,Motacilla flava                              ,1
1986,Sylvia cantillans                            ,11
1992,Luscinia svecica cyanecula                   ,2
1985,Anthus campestris                            ,1
1986,Actitis hypoleucos                           ,8
1988,Charadrius alexandrinus                      ,7
2008,Anilla destruida o perdida                   ,13
2000,Upupa epops                                  ,3
1990,Sturnus vulgaris                             ,38
1985,Larus fuscus                                 ,2
2003,Sylvia undata                                ,4
2004,Anilla destruida o perdida                   ,3
2007,Acrocephalus schoenobaenus                   ,9
2017,Otus scops                                   ,4
2019,Emberiza schoeniclus                         ,6
2019,Certhia brachydactyla                        ,13
1988,Luscinia svecica                             ,11
1994,Motacilla flava iberiae                      ,4
1991,Strix aluco                                  ,3
1990,Turdus torquatus                             ,3
2005,Turdus philomelos                            ,13
2008,Streptopelia decaocto                        ,72
2007,Gelochelidon nilotica                        ,1
2005,Larus [argentatus] cachinnans michahellis    ,12
1988,Ardea purpurea                               ,4
2005,Parus ater                                   ,23
1998,Phoenicurus phoenicurus                      ,2
2019,Carduelis chloris                            ,17
2014,Passer montanus                              ,11
2019,Sylvia melanocephala                         ,36
2020,Anthus pratensis                             ,7
2006,Serinus serinus                              ,216
2016,Sylvia cantillans                            ,4
2019,Apus apus                                    ,21
1991,Sylvia undata                                ,2
2000,Luscinia svecica cyanecula                   ,8
1991,Milvus milvus                                ,1
2004,Phoenicurus ochruros                         ,34
2003,Aegithalos caudatus                          ,43
2000,Luscinia svecica svecica                     ,8
1985,Galerida cristata                            ,3
1999,Calidris ferruginea                          ,18
2007,Sterna albifrons                             ,78
2006,Passer domesticus                            ,223
2006,Apus apus                                    ,13
2006,Tringa totanus                               ,10
1990,Aegithalos caudatus                          ,3
1990,Sylvia undata                                ,13
1998,Saxicola torquata                            ,9
1989,Anthus trivialis                             ,3
1999,Locustella luscinioides                      ,4
1993,Anthus (spinoletta) spinoletta               ,2
2004,Carduelis cannabina                          ,128
2008,Erithacus rubecula                           ,231
1983,Charadrius alexandrinus                      ,6
2008,Hirundo daurica                              ,22
2006,Cinclus cinclus                              ,2
2017,Columba livia                                ,8
2020,Parus major                                  ,39
2009,Motacilla flava thunbergi                    ,1
2016,Actitis hypoleucos                           ,4
1985,Sylvia undata                                ,3
1990,Hirundo rustica                              ,71
1999,Cisticola juncidis                           ,6
1991,Luscinia megarhynchos                        ,114
1994,Motacilla alba                               ,2
1993,Ixobrychus minutus                           ,8
2009,Motacilla flava flava                        ,36
2005,Hirundo rustica                              ,4033
2005,Phylloscopus bonelli                         ,1
2000,Sylvia communis                              ,5
2013,Cettia cetti                                 ,17
1989,Locustella naevia                            ,1
1991,Merops apiaster                              ,5
1993,Acrocephalus melanopogon                     ,20
1998,Regulus ignicapillus                         ,1
1995,Phylloscopus collybita abietinus             ,1
2009,Limosa limosa                                ,1
1989,Larus audouinii                              ,110
1994,Bubulcus ibis                                ,23
2005,Anas platyrhynchos                           ,94
2008,Netta rufina                                 ,1
2000,Actitis hypoleucos                           ,4
2013,Erithacus rubecula                           ,8
2006,Sylvia curruca                               ,1
2013,Phylloscopus trochilus                       ,2
