"AÑO","NAME","CANTIDAD"
2008,Carduelis spinus                             ,787
1997,Alcedo atthis                                ,9
2017,Carduelis chloris                            ,25
1986,Luscinia megarhynchos                        ,28
1989,Sylvia borin                                 ,139
1993,Phylloscopus trochilus                       ,115
1993,Sylvia communis                              ,17
1987,Parus major                                  ,24
1987,Lanius senator                               ,3
1988,Fringilla coelebs                            ,24
2003,Sturnus unicolor                             ,4
1994,Turdus philomelos                            ,21
2001,Columba livia                                ,38
2003,Fringilla montifringilla                     ,1
2005,Carduelis carduelis                          ,145
2007,Chlidonias niger                             ,1
2018,Streptopelia decaocto                        ,125
2012,Anser anser                                  ,1
2006,Hirundo daurica                              ,12
1987,Cettia cetti                                 ,35
1992,Motacilla flava iberiae                      ,3
2007,Passer domesticus                            ,358
1994,Charadrius hiaticula                         ,4
2009,Scolopax rusticola                           ,1
2005,Gallinula chloropus                          ,14
2002,Nycticorax nycticorax                        ,5
2011,Larus [argentatus] cachinnans michahellis    ,22
1989,Strix aluco                                  ,3
2009,Falco peregrinus                             ,3
2000,Ardea cinerea                                ,105
2007,Serinus serinus                              ,757
2008,Cisticola juncidis                           ,26
1984,Locustella luscinioides                      ,1
2006,Streptopelia decaocto                        ,108
2006,Riparia riparia                              ,451
1985,Charadrius dubius                            ,20
2005,Chlidonias hybridus                          ,71
1999,Falco tinnunculus                            ,5
2008,Tringa stagnatilis                           ,1
2008,Serinus serinus                              ,798
2002,Ploceus manyar                               ,1
2004,Panurus biarmicus                            ,5
2012,Sturnus unicolor                             ,4
2014,Turdus merula                                ,19
2006,Otus scops                                   ,4
2016,Luscinia megarhynchos                        ,11
1990,Regulus ignicapillus                         ,17
1992,Motacilla alba                               ,25
1985,Sturnus unicolor                             ,45
2007,Limosa limosa                                ,1
1993,Falco tinnunculus                            ,38
1985,Larus audouinii                              ,65
1993,Circus pygargus                              ,72
2004,Loxia curvirostra                            ,11
1984,Oenanthe oenanthe                            ,9
2018,Riparia riparia                              ,211
2015,Aegithalos caudatus                          ,10
2019,Caprimulgus ruficollis                       ,1
1986,Anilla destruida o perdida                   ,12
1990,Passer montanus                              ,22
1990,Phylloscopus (collybita) tristis             ,2
1987,Galerida cristata                            ,2
1985,Rallus aquaticus                             ,1
1990,Gallinula chloropus                          ,3
2008,Botaurus stellaris                           ,1
2002,Parus cristatus                              ,14
2005,Muscicapa striata                            ,32
2002,Calidris alpina                              ,3
2006,Caprimulgus ruficollis                       ,41
2018,Parus major                                  ,21
2008,Porphyrio porphyrio                          ,1
2006,Calidris alpina                              ,36
1997,Hirundo rustica                              ,6
1999,Luscinia megarhynchos                        ,11
1992,Calidris minuta                              ,1
1993,Motacilla cinerea                            ,2
1992,Hieraaetus pennatus                          ,1
2009,Sterna albifrons                             ,15
1984,Luscinia megarhynchos                        ,7
1984,Ficedula hypoleuca                           ,20
2008,Coccothraustes coccothraustes                ,1
2017,Sylvia melanocephala                         ,15
2016,Muscicapa striata                            ,9
2015,Parus cristatus                              ,2
1993,Phoenicurus phoenicurus                      ,87
1991,Cisticola juncidis                           ,22
1997,Ficedula hypoleuca                           ,1
1989,Upupa epops                                  ,1
2003,Upupa epops                                  ,2
1991,Circus cyaneus                               ,1
2009,Falco tinnunculus                            ,35
1992,Aythya ferina                                ,2
2008,Calidris ferruginea                          ,112
2004,Motacilla flava flava                        ,4
1984,Anilla destruida o perdida                   ,41
2007,Certhia brachydactyla                        ,16
2014,Carduelis chloris                            ,11
2018,Erithacus rubecula                           ,22
2018,Luscinia svecica                             ,10
2020,Emberiza schoeniclus                         ,5
1990,Carduelis carduelis                          ,98
1991,Ficedula hypoleuca                           ,147
1991,Remiz pendulinus                             ,8
1991,Motacilla alba                               ,14
2001,Parus ater                                   ,57
1998,Parus major                                  ,35
2005,Rallus aquaticus                             ,1
1992,Ixobrychus minutus                           ,11
1996,Tyto alba                                    ,10
2005,Fringilla montifringilla                     ,7
1984,Sturnus unicolor                             ,3
2001,Phylloscopus collybita                       ,548
2003,Sylvia cantillans                            ,11
2003,Loxia curvirostra                            ,6
2012,Aegithalos caudatus                          ,19
2006,Recurvirostra avosetta                       ,1
1985,Hirundo rustica                              ,3328
1988,Hippolais icterina                           ,3
1990,Sylvia sp.                                   ,4
1997,Phylloscopus collybita                       ,51
1993,Carduelis spinus                             ,5
1991,Sterna albifrons                             ,17
1998,Anthus campestris                            ,2
2003,Anthus pratensis                             ,9
1987,Upupa epops                                  ,2
2000,Turdus torquatus alpestris                   ,1
2004,Gallinula chloropus                          ,73
2007,Athene noctua                                ,14
2005,Passer domesticus                            ,284
2004,Sylvia borin                                 ,4
2008,Regulus regulus                              ,3
2007,Sylvia communis                              ,10
1983,Motacilla alba alba                          ,11
2016,Caprimulgus ruficollis                       ,1
2016,Sylvia undata                                ,1
2002,Sturnus vulgaris                             ,4
1986,Gallinula chloropus                          ,1
1993,Falco naumanni                               ,1
2008,Athene noctua                                ,8
2008,Phylloscopus (collybita) collybita           ,6
2008,Sylvia communis                              ,3
2008,Jynx torquilla                               ,1
1987,Anilla destruida o perdida                   ,22
1993,Passer domesticus                            ,42
1993,Emberiza pusilla                             ,1
2000,Alauda arvensis                              ,4
1985,Lanius collurio                              ,1
1987,Coturnix coturnix                            ,1
1993,Apus apus                                    ,1
2009,Cettia cetti                                 ,84
2003,Carduelis carduelis                          ,79
2004,Sylvia undata                                ,1
2015,Sylvia communis                              ,2
2013,Luscinia svecica cyanecula                   ,3
2017,Phoenicurus ochruros                         ,10
2006,Saxicola torquata                            ,46
1991,Saxicola torquata                            ,24
1996,Passer montanus                              ,21
1989,Emberiza cia                                 ,1
1989,Charadrius dubius                            ,1
1998,Passer domesticus                            ,71
1988,Dendrocopos major                            ,1
1987,Monticola solitarius                         ,1
1990,Larus (argentatus) cachinnans                ,1
1988,Ardea cinerea                                ,180
2005,Miliaria calandra                            ,5
2004,Troglodytes troglodytes                      ,2
2003,Lonchura punctulata                          ,3
1983,Passer domesticus                            ,44
2000,Calidris minuta                              ,1
2020,Riparia riparia                              ,387
1985,Sylvia cantillans                            ,41
1988,Certhia brachydactyla                        ,2
1988,Anthus trivialis                             ,24
1993,Riparia riparia                              ,1
1994,Prunella modularis                           ,1
2002,Turdus viscivorus                            ,3
2000,Troglodytes troglodytes                      ,3
2004,Saxicola torquata                            ,17
1983,Asio otus                                    ,1
2008,Phylloscopus (collybita) ibericus            ,3
1984,Muscicapa striata                            ,8
2018,Falco tinnunculus                            ,2
2014,Sylvia borin                                 ,1
2017,Anthus pratensis                             ,32
2017,Acrocephalus melanopogon                     ,8
2012,Caprimulgus europaeus                        ,1
1993,Motacilla flava thunbergi                    ,2
1997,Motacilla flava                              ,1
1998,Emberiza schoeniclus                         ,4
1999,Motacilla flava                              ,14
2000,Turdus philomelos                            ,42
2002,Turdus merula                                ,93
2002,Chlidonias hybridus                          ,25
1996,Caprimulgus ruficollis                       ,1
2002,Accipiter nisus                              ,1
2006,Anas clypeata                                ,2
2009,Gallinago gallinago                          ,14
2018,Turdus merula                                ,19
2013,Athene noctua                                ,4
2013,Actitis hypoleucos                           ,1
2014,Calidris ferruginea                          ,10
1985,Phylloscopus collybita                       ,160
1988,Carduelis spinus                             ,7
1989,Delichon urbica                              ,1
1991,Hirundo rustica                              ,116
1999,Phylloscopus collybita                       ,83
1988,Cinclus cinclus                              ,1
1990,Himantopus himantopus                        ,44
2002,Gelochelidon nilotica                        ,1
1993,Strix aluco                                  ,8
2009,Locustella luscinioides                      ,36
2000,Sylvia undata                                ,5
1995,Columba oenas                                ,1
1983,Erithacus rubecula                           ,315
2012,Motacilla flava                              ,1
2014,Fringilla coelebs                            ,6
2006,Remiz pendulinus                             ,13
2013,Calidris minuta                              ,7
1985,Carduelis cannabina                          ,15
1989,Hippolais polyglotta                         ,52
2000,Cisticola juncidis                           ,14
1994,Luscinia svecica cyanecula                   ,8
1992,Galerida cristata                            ,3
1988,Tringa glareola                              ,10
1988,Loxia curvirostra                            ,7
2000,Caprimulgus europaeus                        ,1
1987,Himantopus himantopus                        ,13
1993,Gallinula chloropus                          ,12
2005,Sylvia cantillans                            ,2
1983,Carduelis chloris                            ,20
1984,Fringilla coelebs                            ,77
1983,Certhia brachydactyla                        ,1
1984,Parus cristatus                              ,1
2014,Pica pica                                    ,1
2006,Chlidonias hybridus                          ,4
1987,Emberiza schoeniclus                         ,92
1991,Cettia cetti                                 ,50
1985,Parus caeruleus                              ,1
2003,Petronia petronia                            ,3
1986,Sturnus unicolor                             ,2
2004,Larus (argentatus) cachinnans                ,4
2001,Prunella modularis                           ,3
2011,Phylloscopus collybita                       ,1
1983,Parus major                                  ,1
2008,Passer montanus                              ,33
2003,Charadrius alexandrinus                      ,10
2005,Sterna albifrons                             ,27
2006,Turdus merula                                ,97
2012,Charadrius hiaticula                         ,7
2018,Acrocephalus schoenobaenus                   ,7
1985,Ficedula hypoleuca                           ,105
1986,Hippolais icterina                           ,1
1991,Phylloscopus trochilus acredula              ,1
1991,Lanius (excubitor) meridionalis              ,1
1993,Caprimulgus ruficollis                       ,2
1985,Philomachus pugnax                           ,1
1987,Lymnocryptes minimus                         ,1
2009,Tringa nebularia                             ,1
2000,Egretta garzetta                             ,23
2007,Milvus migrans                               ,1
2001,Ficedula hypoleuca                           ,21
2014,Muscicapa striata                            ,9
2006,Sterna albifrons                             ,24
1989,Aegithalos caudatus                          ,7
1989,Ptyonoprogne rupestris                       ,2
1991,Miliaria calandra                            ,3
1992,Emberiza cirlus                              ,6
1991,Charadrius alexandrinus                      ,22
1994,Hydrobates pelagicus                         ,4
2005,Larus ridibundus                             ,17
2000,Picus viridis                                ,1
2009,Pluvialis squatarola                         ,2
1988,Larus audouinii                              ,230
1994,Calonectris diomedea                         ,55
1996,Strix aluco                                  ,4
1986,Hieraaetus fasciatus                         ,1
1999,Charadrius dubius                            ,3
2006,Falco tinnunculus                            ,43
2020,Columba palumbus                             ,2
2014,Porzana porzana                              ,1
2014,Sylvia conspicillata                         ,2
1990,Sylvia melanocephala                         ,33
1990,Emberiza schoeniclus                         ,42
1991,Phoenicurus phoenicurus                      ,182
1998,Serinus serinus                              ,175
2001,Carduelis cannabina                          ,67
2002,Alcedo atthis                                ,36
2008,Turdus philomelos                            ,38
2007,Nycticorax nycticorax                        ,7
2004,Porphyrio porphyrio                          ,1
2007,Calidris ferruginea                          ,247
1983,Calonectris diomedea                         ,66
2019,Fringilla coelebs                            ,3
2006,Acrocephalus schoenobaenus                   ,4
2013,Serinus serinus                              ,27
1985,Anthus pratensis                             ,8
1985,Charadrius alexandrinus                      ,7
1991,Parus major                                  ,21
1989,Chlidonias niger                             ,1
1990,Prunella collaris                            ,1
2007,Oenanthe oenanthe                            ,3
1992,Cuculus canorus                              ,2
1992,Ardeola ralloides                            ,8
1986,Ardea cinerea                                ,9
2003,Riparia riparia                              ,122
2008,Troglodytes troglodytes                      ,2
2006,Fringilla coelebs                            ,198
2006,Alauda arvensis                              ,4
1988,Sylvia curruca                               ,4
1991,Parus ater                                   ,1
1993,Certhia brachydactyla                        ,3
1994,Anthus trivialis                             ,7
1999,Sturnus vulgaris                             ,15
2008,Turdus torquatus torquatus                   ,1
2002,Ixobrychus minutus                           ,4
1989,Tyto alba                                    ,12
1993,Pernis apivorus                              ,1
2005,Aythya ferina                                ,3
2009,Phylloscopus trochilus                       ,197
2003,Oenanthe hispanica                           ,1
1984,Hippolais icterina                           ,1
2019,Cettia cetti                                 ,36
2006,Sylvia borin                                 ,4
1988,Riparia riparia                              ,4
1989,Motacilla flava flava                        ,24
1990,Sylvia cantillans                            ,19
1991,Erithacus rubecula                           ,1043
2001,Parus caeruleus                              ,4
1992,Acrocephalus arundinaceus                    ,15
1994,Coccothraustes coccothraustes                ,1
1992,Asio otus                                    ,1
1985,Falco eleonorae                              ,9
1990,Crex crex                                    ,1
2004,Galerida cristata                            ,4
1984,Tringa glareola                              ,25
1984,Ardea cinerea                                ,14
2007,Calandrella brachydactyla                    ,2
2007,Especie desconocida                          ,2
2009,Motacilla flava flavissima                   ,14
1983,Fringilla montifringilla                     ,1
1983,Serinus serinus                              ,2
2006,Cettia cetti                                 ,111
2016,Sturnus unicolor                             ,5
2016,Gallinula chloropus                          ,4
2017,Passer domesticus                            ,261
2020,Carduelis carduelis                          ,15
2020,Sylvia atricapilla                           ,98
2006,Motacilla cinerea                            ,11
1989,Hirundo rustica                              ,13
1990,Sylvia sarda                                 ,1
1997,Serinus serinus                              ,106
1989,Miliaria calandra                            ,1
1994,Anas crecca                                  ,2
2003,Athene noctua                                ,21
2006,Anas platyrhynchos                           ,179
2011,Carduelis carduelis                          ,15
2003,Parus cristatus                              ,11
2008,Regulus ignicapillus                         ,8
2002,Anthus campestris                            ,1
1999,Sterna albifrons                             ,29
2012,Turdus merula                                ,26
2014,Larus [argentatus] cachinnans michahellis    ,15
2013,Luscinia megarhynchos                        ,2
2017,Hirundo daurica                              ,1
2016,Phylloscopus trochilus                       ,24
1988,Calandrella brachydactyla                    ,1
2000,Hippolais polyglotta                         ,5
1990,Phylloscopus (collybita) ibericus            ,1
1999,Sylvia cantillans                            ,5
1998,Carduelis chloris                            ,54
1994,Lanius senator                               ,2
2004,Gallinago gallinago                          ,1
2008,Otus scops                                   ,3
1990,Athene noctua                                ,10
2008,Gallinula chloropus                          ,40
1993,Ardea cinerea                                ,92
2009,Parus caeruleus                              ,18
1983,Luscinia megarhynchos                        ,1
2009,Charadrius alexandrinus                      ,8
2016,Fringilla coelebs                            ,3
2015,Apus apus                                    ,6
1986,Locustella luscinioides                      ,13
1987,Hippolais icterina                           ,1
1994,Saxicola rubetra                             ,4
1990,Coccothraustes coccothraustes                ,10
1996,Merops apiaster                              ,1
2004,Garrulus glandarius                          ,1
2009,Carduelis cannabina                          ,268
2008,Glareola pratincola                          ,66
2013,Sturnus unicolor                             ,12
2019,Netta rufina                                 ,6
2020,Locustella luscinioides                      ,25
2006,Motacilla flava iberiae                      ,3
1989,Phoenicurus phoenicurus                      ,77
1992,Emberiza cia                                 ,3
2007,Caprimulgus ruficollis                       ,45
2008,Numenius phaeopus                            ,2
2004,Anas clypeata                                ,1
1992,Tyto alba                                    ,6
1992,Milvus migrans                               ,6
2007,Asio flammeus                                ,1
1996,Hieraaetus pennatus                          ,1
2009,Phoenicurus ochruros                         ,44
2009,Phylloscopus collybita                       ,848
2002,Actitis hypoleucos                           ,1
2015,Larus audouinii                              ,1
2014,Anas platyrhynchos                           ,13
2014,Charadrius hiaticula                         ,4
2014,Luscinia svecica                             ,19
2015,Motacilla cinerea                            ,17
2016,Hippolais polyglotta                         ,2
1986,Hippolais polyglotta                         ,30
1996,Aegithalos caudatus                          ,9
1989,Fringilla montifringilla                     ,2
1998,Erithacus rubecula                           ,115
2001,Motacilla alba alba                          ,50
1992,Turdus merula                                ,59
1992,Recurvirostra avosetta                       ,13
1988,Anas strepera                                ,12
2011,Sylvia melanocephala                         ,1
1988,Turdus iliacus                               ,1
2000,Phylloscopus trochilus                       ,24
1984,Gallinago gallinago                          ,20
2014,Tringa totanus                               ,1
2014,Cisticola juncidis                           ,7
2015,Serinus serinus                              ,16
1988,Panurus biarmicus                            ,22
1989,Estrilda astrild                             ,2
1998,Sylvia melanocephala                         ,14
1991,Carpodacus erythrinus                        ,1
2009,Lanius (excubitor) meridionalis              ,5
2007,Gallinula chloropus                          ,15
2000,Cettia cetti                                 ,56
2002,Acrocephalus melanopogon                     ,44
1996,Motacilla flava                              ,35
2002,Anthus pratensis                             ,12
1984,Anthus trivialis                             ,1
2009,Motacilla flava cinereocapilla               ,5
2019,Larus [argentatus] cachinnans michahellis    ,18
2012,Phoenicurus phoenicurus                      ,1
2017,Serinus serinus                              ,52
1986,Cettia cetti                                 ,45
1989,Saxicola torquata                            ,22
1985,Carduelis carduelis                          ,18
1990,Jynx torquilla                               ,7
2008,Sturnus unicolor                             ,29
1994,Clamator glandarius                          ,2
1990,Calonectris diomedea                         ,3
1994,Buteo buteo                                  ,9
2007,Strix aluco                                  ,4
2009,Parus ater                                   ,208
2001,Carduelis spinus                             ,51
2005,Serinus serinus                              ,550
1984,Ardeola ralloides                            ,32
1983,Sylvia melanocephala                         ,2
2000,Calidris temminckii                          ,1
2012,Acrocephalus schoenobaenus                   ,5
2006,Phoenicurus ochruros                         ,62
1990,Serinus serinus                              ,35
1989,Ficedula hypoleuca                           ,94
1991,Sylvia sarda                                 ,1
1995,Phylloscopus trochilus acredula              ,1
1986,Fringilla coelebs                            ,1
1989,Anthus (spinoletta) spinoletta               ,1
1989,Sterna albifrons                             ,2
1991,Anilla destruida o perdida                   ,1
1995,Anthus spinoletta                            ,1
2001,Petronia petronia                            ,7
1988,Oriolus oriolus                              ,7
2000,Streptopelia turtur                          ,5
1994,Rallus aquaticus                             ,1
2003,Streptopelia decaocto                        ,304
2008,Garrulus glandarius                          ,1
2013,Turdus philomelos                            ,1
2017,Streptopelia decaocto                        ,68
2012,Sylvia borin                                 ,3
1985,Riparia riparia                              ,79
1987,Certhia brachydactyla                        ,1
1992,Sylvia conspicillata                         ,4
1993,Motacilla flava flava                        ,237
1992,Lullula arborea                              ,3
1999,Passer domesticus                            ,182
1996,Galerida theklae                             ,1
2006,Anilla destruida o perdida                   ,2
2007,Arenaria interpres                           ,2
2002,Carduelis cannabina                          ,41
1984,Oenanthe leucura                             ,2
2014,Calidris minuta                              ,11
1987,Sylvia melanocephala                         ,14
1989,Motacilla flava                              ,4
2001,Carduelis carduelis                          ,77
1988,Emberiza hortulana                           ,10
2001,Loxia curvirostra                            ,33
2001,Bucanetes githagineus                        ,2
2004,Motacilla cinerea                            ,21
2007,Sturnus unicolor                             ,24
2009,Myiopsitta monachus                          ,17
1993,Larus audouinii                              ,1
2018,Actitis hypoleucos                           ,6
2007,Locustella naevia                            ,1
1995,Acrocephalus melanopogon                     ,2
1998,Muscicapa striata                            ,2
1996,Sylvia undata                                ,1
1994,Phylloscopus collybita abietinus             ,1
1997,Acrocephalus schoenobaenus                   ,1
2008,Passer domesticus                            ,382
1998,Luscinia svecica svecica                     ,2
2007,Alectoris rufa                               ,1
1993,Circus cyaneus                               ,1
2005,Parus major                                  ,117
2004,Cettia cetti                                 ,80
2004,Sylvia curruca                               ,1
2008,Apus apus                                    ,46
2018,Accipiter nisus                              ,1
2013,Apus apus                                    ,16
2006,Gallinago gallinago                          ,17
1992,Phylloscopus bonelli                         ,2
1993,Muscicapa striata                            ,33
1987,Tringa glareola                              ,16
2002,Phoenicurus ochruros                         ,12
1987,Ardea cinerea                                ,172
2004,Phoenicurus phoenicurus                      ,39
2001,Sylvia cantillans                            ,16
2008,Calidris alpina                              ,23
2009,Passer hispaniolensis                        ,8
2016,Cettia cetti                                 ,49
1994,Carduelis spinus                             ,1
2002,Passer domesticus                            ,366
1988,Limosa limosa                                ,1
2009,Philomachus pugnax                           ,2
2001,Riparia riparia                              ,116
2003,Euplectes afer                               ,1
2018,Motacilla flava iberiae                      ,3
2019,Luscinia svecica                             ,7
2020,Acrocephalus scirpaceus                      ,141
2014,Lanius senator                               ,1
2006,Calidris temminckii                          ,6
1990,Motacilla alba alba                          ,2
1994,Sylvia atricapilla                           ,94
1998,Pyrrhula pyrrhula                            ,1
1999,Miliaria calandra                            ,1
1994,Acrocephalus arundinaceus                    ,9
1986,Gallinago gallinago                          ,58
2009,Streptopelia roseogrisea                     ,4
2009,Hirundo rustica                              ,1762
2007,Carduelis spinus                             ,741
2009,Ficedula hypoleuca                           ,14
2000,Locustella luscinioides                      ,44
1985,Parus cristatus                              ,2
2003,Sterna hirundo                               ,1
2015,Passer domesticus                            ,96
2014,Gallinago gallinago                          ,1
2017,Parus cristatus                              ,4
2015,Regulus ignicapillus                         ,1
1990,Phylloscopus sibilatrix                      ,7
1993,Fringilla coelebs                            ,13
1987,Anthus spinoletta                            ,4
1992,Sylvia borin                                 ,108
1989,Caprimulgus europaeus                        ,2
2009,Limosa lapponica                             ,1
1994,Burhinus oedicnemus                          ,3
1992,Accipiter gentilis                           ,1
2005,Erithacus rubecula                           ,96
2012,Psittacula krameri                           ,1
2012,Hirundo rustica                              ,286
2006,Cisticola juncidis                           ,21
1988,Passer montanus                              ,20
1988,Regulus regulus                              ,4
2001,Parus cristatus                              ,16
1992,Anthus cervinus                              ,8
1993,Anthus trivialis                             ,3
2004,Motacilla alba                               ,331
2002,Bubulcus ibis                                ,28
2008,Sylvia undata                                ,3
1983,Hippolais icterina                           ,1
2015,Sturnus unicolor                             ,3
2020,Turdus philomelos                            ,5
2013,Larus [argentatus] cachinnans michahellis    ,31
2016,Locustella luscinioides                      ,13
2019,Cisticola juncidis                           ,4
1987,Sylvia borin                                 ,36
1990,Anthus pratensis                             ,53
1993,Motacilla flava flavissima                   ,6
1999,Rhodospiza obsoleta                          ,1
2003,Glareola pratincola                          ,12
1988,Corvus corax                                 ,1
2008,Chlidonias hybridus                          ,13
2009,Petronia petronia                            ,1
2007,Sylvia cantillans                            ,14
2007,Calidris temminckii                          ,7
2012,Motacilla alba                               ,7
2018,Passer domesticus                            ,231
1989,Saxicola rubetra                             ,8
1990,Troglodytes troglodytes                      ,3
1991,Delichon urbica                              ,13
1988,Charadrius hiaticula                         ,2
1999,Erithacus rubecula                           ,49
1995,Motacilla alba                               ,1
1996,Sylvia borin                                 ,2
2004,Chlidonias hybridus                          ,134
2008,Psittacula krameri                           ,3
1990,Falco eleonorae                              ,1
1989,Buteo buteo                                  ,13
2009,Calidris alpina                              ,27
1984,Acrocephalus arundinaceus                    ,32
2002,Hirundo rustica                              ,2039
2003,Phylloscopus trochilus                       ,20
2008,Muscicapa striata                            ,13
2003,Sylvia communis                              ,1
2013,Coturnix coturnix                            ,1
2015,Carduelis carduelis                          ,41
2016,Erithacus rubecula                           ,47
2006,Certhia brachydactyla                        ,6
1986,Erithacus rubecula                           ,65
1988,Cettia cetti                                 ,179
1993,Luscinia svecica                             ,14
1986,Parus major                                  ,55
1987,Anthus (spinoletta) spinoletta               ,17
1988,Acrocephalus arundinaceus                    ,82
1992,Lanius senator badius                        ,1
1987,Turdus merula                                ,16
1985,Larus (argentatus) cachinnans                ,1
2002,Phoenicurus phoenicurus                      ,8
2008,Alcedo atthis                                ,21
2017,Luscinia megarhynchos                        ,5
2020,Motacilla alba                               ,9
2020,Saxicola torquata                            ,2
2015,Sylvia cantillans                            ,10
2020,Regulus ignicapillus                         ,3
1993,Parus major                                  ,30
1986,Lanius senator                               ,8
1995,Sylvia borin                                 ,11
1993,Charadrius hiaticula                         ,2
1999,Parus major                                  ,32
1993,Lanius senator                               ,12
1992,Charadrius dubius                            ,11
2000,Lanius excubitor                             ,1
1994,Limosa limosa                                ,3
1987,Nycticorax nycticorax                        ,50
1989,Larus [argentatus] cachinnans michahellis    ,48
2004,Motacilla flava feldegg                      ,6
2002,Poephila guttata                             ,1
2008,Sylvia cantillans                            ,16
2006,Passer montanus                              ,64
1985,Sylvia communis                              ,40
1988,Phoenicurus ochruros gibraltarensis          ,1
1990,Phylloscopus bonelli                         ,5
1990,Acrocephalus paludicola                      ,1
1994,Passer montanus                              ,5
1986,Emberiza schoeniclus                         ,13
1989,Luscinia svecica svecica                     ,15
1996,Motacilla alba                               ,11
1997,Lanius senator                               ,1
1999,Tringa totanus                               ,1
2009,Pluvialis apricaria                          ,1
1992,Ardea cinerea                                ,1
2007,Ardea cinerea                                ,61
1999,Lanius senator                               ,2
2007,Miliaria calandra                            ,2
2014,Tringa nebularia                             ,1
2016,Tringa totanus                               ,1
2015,Pica pica                                    ,2
2006,Tringa glareola                              ,18
1987,Phoenicurus phoenicurus                      ,70
1989,Luscinia megarhynchos                        ,29
2002,Serinus serinus                              ,344
1987,Luscinia svecica cyanecula                   ,7
1987,Luscinia svecica svecica                     ,2
1987,Calidris minuta                              ,15
1991,Emberiza cia                                 ,1
1986,Tringa totanus                               ,25
2005,Turdus merula                                ,131
2005,Apus apus                                    ,3
1985,Streptopelia turtur                          ,5
2003,Larus (argentatus) cachinnans                ,2
2001,Hippolais polyglotta                         ,7
1984,Parus major                                  ,12
2015,Fringilla coelebs                            ,2
2020,Hirundo rustica                              ,632
2015,Calidris minuta                              ,4
1987,Saxicola torquata                            ,5
1986,Acrocephalus arundinaceus                    ,44
1988,Motacilla flava flavissima                   ,3
1999,Ave exótica o de jaula                       ,1
1998,Loxia curvirostra                            ,14
1988,Tringa totanus                               ,25
2001,Larus ridibundus                             ,1
2002,Larus ridibundus                             ,1
1992,Larus audouinii                              ,33
2001,Larus (argentatus) cachinnans                ,1
2006,Podiceps nigricollis                         ,13
1983,Nycticorax nycticorax                        ,43
2009,Riparia riparia                              ,240
2000,Emberiza schoeniclus                         ,14
2013,Streptopelia turtur                          ,1
2017,Falco tinnunculus                            ,8
2016,Calidris temminckii                          ,1
1985,Hippolais polyglotta                         ,13
1999,Acrocephalus arundinaceus                    ,37
1999,Columba livia                                ,42
2007,Corvus monedula                              ,4
1998,Nycticorax nycticorax                        ,3
1993,Falco peregrinus                             ,1
2004,Anas platyrhynchos                           ,135
2005,Emberiza citrinella                          ,1
2002,Saxicola torquata                            ,12
2002,Luscinia svecica svecica                     ,2
1984,Erithacus rubecula                           ,45
1983,Acrocephalus palustris                       ,1
1986,Luscinia svecica                             ,6
1993,Erithacus rubecula                           ,183
1992,Bubo bubo                                    ,4
1997,Sylvia atricapilla                           ,20
2000,Carduelis chloris                            ,51
1990,Turdus philomelos                            ,214
2009,Sturnus vulgaris                             ,3
2007,Rallus aquaticus                             ,1
1984,Actitis hypoleucos                           ,18
1993,Columba livia                                ,6
2007,Fringilla montifringilla                     ,1
2007,Hydrobates pelagicus                         ,6
2020,Parus ater                                   ,7
2017,Motacilla cinerea                            ,9
2014,Phylloscopus trochilus                       ,7
2018,Phylloscopus trochilus                       ,14
2016,Charadrius hiaticula                         ,1
1992,Sylvia curruca                               ,1
1988,Galerida cristata                            ,1
1999,Luscinia svecica                             ,11
1985,Sterna hirundo                               ,2
1987,Recurvirostra avosetta                       ,1
1992,Fulica atra                                  ,1
2008,Aythya ferina                                ,1
2009,Parus cristatus                              ,18
2004,Passer montanus                              ,21
2011,Phoenicurus ochruros                         ,4
1984,Sylvia atricapilla                           ,26
2014,Sylvia communis                              ,5
2014,Glareola pratincola                          ,2
2018,Locustella luscinioides                      ,21
1987,Serinus serinus                              ,26
1989,Remiz pendulinus                             ,18
1988,Erithacus rubecula                           ,546
2000,Sylvia melanocephala                         ,75
1990,Carduelis cannabina                          ,17
1991,Certhia brachydactyla                        ,2
1991,Monticola solitarius                         ,1
1999,Phylloscopus bonelli                         ,1
1993,Phylloscopus collybita abietinus             ,5
1992,Apus apus                                    ,2
2000,Galerida cristata                            ,3
1985,Larus ridibundus                             ,22
2005,Emberiza cirlus                              ,19
2008,Parus ater                                   ,25
2009,Cisticola juncidis                           ,68
2008,Motacilla cinerea                            ,5
1983,Carduelis spinus                             ,2
2013,Caprimulgus ruficollis                       ,5
2016,Emberiza schoeniclus                         ,4
1986,Sylvia melanocephala                         ,42
1987,Hirundo rustica                              ,51
1994,Anilla destruida o perdida                   ,11
1986,Charadrius hiaticula                         ,16
1993,Sterna albifrons                             ,5
1992,Caprimulgus europaeus                        ,6
1998,Sturnus unicolor                             ,1
2004,Lanius (excubitor) meridionalis              ,4
2000,Himantopus himantopus                        ,1
1987,Egretta garzetta                             ,120
1987,Calonectris diomedea                         ,15
2007,Falco peregrinus brookei                     ,4
2007,Alauda arvensis                              ,11
2008,Alauda arvensis                              ,3
2009,Loxia curvirostra                            ,137
2000,Sylvia conspicillata                         ,1
1984,Tringa totanus                               ,6
2015,Luscinia megarhynchos                        ,8
2006,Oenanthe oenanthe                            ,1
2017,Acrocephalus schoenobaenus                   ,3
2019,Phylloscopus trochilus                       ,15
